,Acessa internet do microcomputador,Para acessar à Internet utiliza-se tablet,Para acessar à Internet utiliza-se telefone celular,Para acessar à Internet utiliza-se tv,Rendimento mensal domiciliar per capita,Tem Tablet,Tem microcomputador,Tem telefone móvel celular,Tem televisão por assinatura
738,4.0,4.0,2.0,4.0,500.0,4.0,3.0,2.0,3.0
740,4.0,4.0,2.0,4.0,2125.0,4.0,3.0,2.0,3.0
744,4.0,4.0,2.0,4.0,451.0,4.0,3.0,2.0,3.0
745,2.0,4.0,4.0,4.0,600.0,4.0,1.0,2.0,3.0
749,2.0,2.0,2.0,4.0,2066.0,2.0,1.0,2.0,1.0
751,4.0,4.0,2.0,4.0,929.0,4.0,3.0,2.0,3.0
753,2.0,4.0,2.0,4.0,4028.0,4.0,1.0,2.0,3.0
754,4.0,4.0,2.0,4.0,3500.0,4.0,3.0,2.0,3.0
760,4.0,4.0,4.0,2.0,3650.0,4.0,3.0,2.0,3.0
761,2.0,4.0,2.0,4.0,732.0,4.0,1.0,2.0,3.0
764,2.0,4.0,2.0,4.0,3450.0,4.0,1.0,2.0,3.0
765,2.0,4.0,2.0,4.0,362.0,4.0,1.0,2.0,3.0
771,2.0,2.0,2.0,4.0,1300.0,2.0,1.0,2.0,1.0
775,2.0,4.0,2.0,4.0,1534.0,4.0,1.0,2.0,3.0
778,2.0,4.0,2.0,4.0,262.0,4.0,1.0,2.0,1.0
781,2.0,4.0,2.0,4.0,733.0,4.0,1.0,2.0,3.0
782,4.0,4.0,2.0,4.0,1400.0,4.0,3.0,2.0,3.0
783,2.0,4.0,2.0,4.0,1338.0,4.0,1.0,2.0,3.0
784,4.0,4.0,2.0,4.0,900.0,4.0,3.0,2.0,3.0
788,2.0,4.0,2.0,4.0,592.0,4.0,1.0,2.0,1.0
789,4.0,4.0,2.0,4.0,1050.0,4.0,3.0,2.0,1.0
790,4.0,4.0,2.0,4.0,397.0,4.0,3.0,2.0,3.0
796,2.0,4.0,2.0,4.0,2216.0,2.0,1.0,2.0,1.0
797,2.0,2.0,2.0,4.0,2780.0,2.0,1.0,2.0,1.0
798,2.0,4.0,2.0,4.0,929.0,4.0,1.0,2.0,1.0
799,2.0,4.0,2.0,4.0,964.0,4.0,1.0,2.0,3.0
800,2.0,4.0,2.0,4.0,5800.0,4.0,1.0,2.0,1.0
805,2.0,4.0,4.0,4.0,1233.0,4.0,1.0,2.0,3.0
806,2.0,4.0,2.0,4.0,1454.0,4.0,1.0,2.0,1.0
807,4.0,4.0,2.0,4.0,394.0,4.0,3.0,2.0,3.0
808,4.0,4.0,2.0,4.0,290.0,4.0,3.0,2.0,3.0
811,2.0,4.0,2.0,4.0,1350.0,4.0,1.0,2.0,1.0
815,4.0,4.0,2.0,4.0,528.0,4.0,3.0,2.0,3.0
818,2.0,4.0,2.0,4.0,275.0,4.0,1.0,2.0,3.0
820,4.0,4.0,2.0,4.0,400.0,4.0,3.0,2.0,3.0
822,2.0,4.0,2.0,4.0,562.0,4.0,1.0,2.0,3.0
826,4.0,4.0,2.0,4.0,788.0,4.0,3.0,2.0,3.0
828,2.0,4.0,2.0,4.0,2935.0,4.0,1.0,2.0,1.0
830,4.0,4.0,2.0,4.0,929.0,4.0,3.0,2.0,3.0
831,4.0,4.0,2.0,4.0,276.0,4.0,3.0,2.0,3.0
836,2.0,4.0,2.0,4.0,1250.0,4.0,1.0,2.0,1.0
839,4.0,2.0,2.0,4.0,357.0,2.0,3.0,2.0,1.0
846,4.0,4.0,2.0,4.0,732.0,4.0,3.0,2.0,3.0
849,4.0,4.0,2.0,4.0,1288.0,4.0,3.0,2.0,3.0
853,4.0,4.0,2.0,4.0,788.0,4.0,3.0,2.0,3.0
857,4.0,4.0,2.0,4.0,1325.0,4.0,1.0,2.0,3.0
858,2.0,4.0,2.0,4.0,550.0,4.0,1.0,2.0,1.0
859,4.0,4.0,2.0,4.0,622.0,4.0,3.0,2.0,3.0
861,4.0,4.0,2.0,4.0,164.0,4.0,3.0,2.0,3.0
862,2.0,4.0,2.0,4.0,583.0,4.0,1.0,2.0,3.0
866,4.0,4.0,2.0,4.0,200.0,4.0,3.0,2.0,3.0
867,4.0,4.0,2.0,4.0,273.0,4.0,3.0,2.0,3.0
869,4.0,4.0,2.0,4.0,342.0,4.0,3.0,2.0,3.0
873,2.0,4.0,2.0,4.0,300.0,4.0,1.0,2.0,3.0
874,4.0,4.0,2.0,4.0,50.0,4.0,3.0,2.0,3.0
876,2.0,4.0,4.0,4.0,500.0,4.0,1.0,2.0,1.0
878,2.0,4.0,2.0,4.0,750.0,4.0,1.0,2.0,1.0
885,2.0,4.0,4.0,4.0,398.0,4.0,1.0,2.0,3.0
888,4.0,4.0,2.0,4.0,485.0,4.0,1.0,2.0,3.0
893,4.0,4.0,2.0,4.0,1708.0,4.0,1.0,2.0,3.0
894,4.0,4.0,2.0,4.0,558.0,4.0,3.0,2.0,3.0
897,4.0,4.0,2.0,4.0,1750.0,2.0,1.0,2.0,3.0
901,4.0,4.0,2.0,4.0,4800.0,4.0,3.0,2.0,3.0
904,2.0,4.0,2.0,4.0,2600.0,4.0,1.0,2.0,3.0
909,4.0,4.0,2.0,4.0,286.0,4.0,3.0,2.0,3.0
910,2.0,4.0,2.0,4.0,2033.0,4.0,1.0,2.0,3.0
911,4.0,4.0,2.0,4.0,758.0,4.0,3.0,2.0,3.0
912,2.0,4.0,2.0,4.0,500.0,4.0,1.0,2.0,3.0
914,2.0,4.0,2.0,4.0,556.0,4.0,1.0,2.0,3.0
931,2.0,4.0,2.0,4.0,1300.0,4.0,1.0,2.0,3.0
933,2.0,4.0,2.0,4.0,856.0,4.0,1.0,2.0,3.0
936,4.0,4.0,2.0,4.0,366.0,4.0,3.0,2.0,3.0
938,4.0,4.0,2.0,4.0,1250.0,2.0,3.0,2.0,3.0
939,4.0,4.0,2.0,4.0,45000.0,4.0,3.0,2.0,3.0
940,4.0,4.0,2.0,4.0,240.0,4.0,1.0,2.0,3.0
951,2.0,4.0,4.0,4.0,3700.0,4.0,1.0,2.0,3.0
952,2.0,2.0,2.0,4.0,1750.0,2.0,1.0,2.0,3.0
953,2.0,2.0,2.0,4.0,1472.0,2.0,1.0,2.0,1.0
986,2.0,4.0,4.0,4.0,1333.0,4.0,1.0,2.0,3.0
989,4.0,2.0,2.0,4.0,778.0,2.0,3.0,2.0,3.0
990,2.0,4.0,2.0,4.0,700.0,4.0,1.0,2.0,3.0
991,4.0,4.0,2.0,4.0,1666.0,4.0,3.0,2.0,3.0
992,4.0,4.0,2.0,4.0,1200.0,4.0,3.0,2.0,3.0
993,2.0,4.0,2.0,4.0,3000.0,4.0,1.0,2.0,3.0
997,2.0,4.0,2.0,4.0,1894.0,4.0,1.0,2.0,1.0
998,2.0,4.0,4.0,4.0,300.0,4.0,1.0,2.0,1.0
999,2.0,4.0,2.0,4.0,800.0,4.0,1.0,2.0,3.0
1000,2.0,4.0,2.0,4.0,925.0,4.0,1.0,2.0,1.0
1002,2.0,4.0,2.0,4.0,1300.0,4.0,1.0,2.0,1.0
1004,2.0,4.0,4.0,4.0,660.0,4.0,1.0,2.0,3.0
1005,2.0,4.0,2.0,4.0,1300.0,4.0,1.0,2.0,1.0
1006,2.0,4.0,2.0,4.0,930.0,4.0,1.0,2.0,3.0
1007,2.0,4.0,2.0,4.0,1866.0,4.0,1.0,2.0,3.0
1012,2.0,4.0,2.0,4.0,1250.0,4.0,1.0,2.0,1.0
1013,4.0,4.0,2.0,4.0,800.0,4.0,3.0,2.0,3.0
1018,2.0,4.0,2.0,4.0,808.0,4.0,1.0,2.0,3.0
1019,2.0,4.0,2.0,4.0,625.0,4.0,1.0,2.0,1.0
1023,4.0,4.0,2.0,4.0,1500.0,4.0,3.0,2.0,3.0
1024,2.0,4.0,2.0,4.0,920.0,4.0,1.0,2.0,3.0
1030,2.0,4.0,2.0,4.0,1447.0,4.0,1.0,2.0,3.0
1033,2.0,2.0,2.0,4.0,750.0,2.0,1.0,2.0,3.0
1034,4.0,4.0,2.0,4.0,437.0,4.0,3.0,2.0,3.0
1038,4.0,4.0,2.0,4.0,825.0,4.0,3.0,2.0,3.0
1047,4.0,4.0,2.0,4.0,3191.0,4.0,3.0,2.0,3.0
1053,2.0,4.0,2.0,4.0,400.0,4.0,1.0,2.0,3.0
1055,2.0,4.0,2.0,4.0,1600.0,4.0,1.0,2.0,3.0
1060,2.0,4.0,2.0,4.0,830.0,4.0,1.0,2.0,3.0
1061,2.0,4.0,2.0,4.0,828.0,4.0,1.0,2.0,3.0
1063,2.0,4.0,4.0,4.0,1175.0,4.0,1.0,2.0,3.0
1064,2.0,4.0,2.0,4.0,300.0,4.0,1.0,2.0,3.0
1067,2.0,4.0,2.0,4.0,1200.0,4.0,1.0,2.0,3.0
1069,2.0,4.0,2.0,4.0,1100.0,4.0,1.0,2.0,3.0
1070,2.0,4.0,4.0,4.0,1460.0,4.0,1.0,2.0,3.0
1071,4.0,4.0,2.0,4.0,999999999999.0,4.0,3.0,2.0,3.0
